Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
SR1-S	5	Monterey	Monterey	R75.556	326.025		500010064	MUNRAS RD HWY 1 NB VDS ONSB SB	1	On Ramp		No	1	
SR1-S	5	Monterey	Monterey	R76.209	326.678		500010071	MUNRAS RD HWY 1 SB VDS ONSB SB	1	On Ramp		No	1	
SR1-S	5	Monterey	Monterey	R76.21	326.679	.695	500010072	MUNRAS RD HWY 1 SB VDS MLSB SB	2	Mainline		No	1	
SR1-S	5	Monterey	Monterey	R76.946	327.415	.711	500010082	SOUTH OF AQUAJITO RD HWY 1 NB VD	2	Mainline		No	1	
SR1-S	5	Monterey	Monterey	R77.631	328.1		500010091	SLOAT AVE HWY 1 SB VDS OFSB SB	2	Off Ramp		No	1	
SR1-S	5	Monterey	Monterey	R77.632	328.101	.539	500010092	SLOAT AVE HWY 1 SB VDS MLSB SB	2	Mainline	radars	No	1	
SR1-S	5	Monterey	Monterey	R78.024	328.493	.339	500010102	SOUTH OF HWY 68 EAST AT HWY 1 NB	2	Mainline	radars	No	1	
SR1-S	5	Monterey	Monterey	R78.311	328.78	.26	500010111	NORTH OF HWY 68 EAST AT HWY 1 SB	3	Mainline		No	1	
SR1-S	5	Monterey	Monterey	R78.546	329.015	.353	500010121	CASA VERDE WAY HWY 1 SB VDS MLSB	2	Mainline	radars	No	1	
SR1-S	5	Monterey	Seaside	R79.018	329.487		500010131	NORTH OF DEL MONTE AVE HWY 1 SB	1	Off Ramp		No	1	
SR1-S	5	Monterey	Seaside	R79.019	329.488	.497	500010132	NORTH OF DEL MONTE AVE HWY 1 SB	2	Mainline	radars	No	1	
SR1-S	5	Monterey	Sand City	R79.541	330.01	.72	500010143	CANYON DEL REY BLVD AT HWY 1 NB	2	Mainline	radars	No	1	
SR1-S	5	Monterey	Sand City	R79.542	330.011		500010144	CANYON DEL REY BLVD AT HWY 1 NB	1	Off Ramp		No	1	
SR1-S	5	Monterey	Seaside	R80.46	330.929	.748	500010153	SOUTH OF FREMONT BLVD AT HWY 1 N	2	Mainline	radars	No	1	
SR1-S	5	Monterey		R81.039	331.508	.559	500011011	NORTH OF FREMONT HWY 1 SB VDS ML	3	Mainline		No	1	
SR1-S	5	Monterey		R81.578	332.047	.87	500011022	MIDPOINT HWY 1 NB VDS MLSB SB	3	Mainline	radars	No	1	
SR1-S	5	Monterey		R82.78	333.249	1.37	500011033	LIGHTFIGHTER DR HWY 1 NB VDS MLS	3	Mainline	radars	No	1	
SR1-S	5	Monterey		R82.781	333.25		500011034	LIGHTFIGHTER DR HWY 1 NB VDS OFS	1	Off Ramp		No	1	
SR1-S	5	Monterey		R84.317	334.786	1.106	500011043	IMJIN PARKWAY HWY 1 NB VDS MLSB	3	Mainline	radars	No	1	
SR1-S	5	Monterey		R84.318	334.787		500011044	IMJIN PARKWAY HWY 1 NB VDS OFSB	1	Off Ramp		No	1	
SR1-S	5	Monterey	Marina	R84.992	335.461	1.189	500011053	DEL MONTE BLVD SOUTH HWY 1 NB VD	2	Mainline	radars	No	1	
SR1-S	5	Monterey	Marina	R84.993	335.462		500011054	DEL MONTE BLVD SOUTH HWY 1 NB VD	1	On Ramp		No	1	
SR1-S	5	Monterey		R86.695	337.164		500011061	RESERVATION RD HWY 1 SB VDS OFSB	1	Off Ramp		No	1	
SR1-S	5	Monterey		R86.696	337.165	1.793	500011062	RESERVATION RD HWY 1 SB VDS MLSB	2	Mainline	radars	No	1	
SR1-S	5	Monterey		R88.578	339.047	1.834	500011073	DEL MONTE BLVD NORTH HWY 1 NB VD	2	Mainline	radars	No	1	
SR1-S	5	Monterey		R90.363	340.832	1.147	500011083	NASHUA RD HWY 1 NB VDS MLSB	2	Mainline		No	1	
SR1-S	5	Monterey		R90.873	341.342		500011101	HWY 156 AT HWY 1 SB VDS ONSB SB	2	On Ramp		No	1	
SR1-S	5	Monterey		R90.874	341.343	.89	500011102	HWY 156 AT HWY 1 SB VDS MLSB SB	2	Mainline	radars	No	1	
SR1-S	5	Monterey		T92.145	342.614	1.053	500011113	HWY 183 AT HWY 1 NB VDS MLSB SB	1	Mainline	radars	No	1	
SR1-S	5	Monterey		94.388	343.45	.812	500011123	MOLERA RD HWY 1 NB VDS MLSB SB	1	Mainline	radars	No	1	
SR1-S	5	Monterey		95.177	344.239	.71	500011133	POTRERO RD HWY 1 NB VDS MLSB SB	1	Mainline		No	1	
SR1-S	5	Monterey		95.81	344.872	.621	500011141	MOSS LANDING RD HWY 1 SB VDS MLS	1	Mainline	radars	No	1	
SR1-S	5	Monterey		96.419	345.481	1.191	500011152	ELKHORN SLOUGH HWY 1 NB VDS MLSB	1	Mainline		No	1	
SR1-S	5	Monterey		98.193	347.255	1.423	500011211	STRUVE RD HWY 1 SB VDS MLSB SB	1	Mainline		No	1	
SR1-S	5	Monterey		99.265	348.327	1.423	500011221	NORTH OF SPRINGFIELD RD HWY 1 SB	1	Mainline		No	1	
SR1-S	5	Monterey		T101.038	350.1		500011231	SALINAS RD HWY 1 SB VDS ONSB SB	1	On Ramp		No	1	
SR1-S	5	Monterey		T101.039	350.101	1.14	500011232	SALINAS RD HWY 1 SB VDS MLSB SB	2	Mainline		No	1	
SR1-S	5	Monterey		R101.545	350.607	.846	500011242	TRAFTON RD HWY 1 NB VDS MLSB SB	2	Mainline		No	1	
SR1-S	5	Santa Cruz	Watsonville	R0.879999999999995	351.973	1.027	500013013	HWY 129 AT HWY 1 NB VDS MLSB SB	2	Mainline		No	1	
SR1-S	5	Santa Cruz	Watsonville	R0.881000000000029	351.974		500013014	HWY 129 AT HWY 1 NB VDS ONSB SB	1	On Ramp		No	1	
SR1-S	5	Santa Cruz		R1.387	352.48		500013021	HWY 129 AT HWY 1 SB VDS OFSB SB	1	Off Ramp		No	1	
