Fwy,District,County,City,CA PM,Abs PM,Length,ID,Name,Lanes,Type,Sensor Type,HOV,MS ID,IRM,Latitude,Longitude,Dir,State_PM,Abs_PM,User_ID_1,_file_date,_source_file
SR1-N,5,Santa Cruz,Santa Cruz,16.014,367.355,0.663,500014111,WEST OF MORRISSEY BLVD AT HWY 1,3.0,Mainline,radars,No,1,,36.988447,-122.006802,N,16.014,367.355,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Santa Cruz,16.327,367.668,0.352,500014121,EAST OF EMELINE DR AT HWY 1 NB V,3.0,Mainline,radars,No,1,,36.988674,-122.012474,N,16.327,367.668,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Santa Cruz,16.718,368.059,,500014131,BEGIN HWY 17 NB AND HWY 1 NB SEP,1.0,Off Ramp,,No,1,,36.989419,-122.019961,N,16.718,368.059,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Santa Cruz,16.719,368.06,2.696,500014132,BEGIN HWY 17 NB AND HWY 1 NB SEP,2.0,Mainline,radars,No,1,,36.989422,-122.019984,N,16.719,368.06,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,4,San Francisco,San Francisco,6.29,443.388,3.312,416144,500' N of Lake St,2.0,Mainline,radars,No,DT150,U2-N-34-001-00629,37.791909,-122.469662,N,6.29,443.388,DT150,2026-02-14,d04_text_meta_2026_02_14.txt
SR1-S,12,Orange,,12.78,12.791,2.79,1221169,CRYSTAL HEIGHTS,1.0,Mainline,,No,2553,,33.568992,-117.833412,S,12.78,12.791,2553,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-S,12,Orange,,13.36,13.371,1.825,1221162,1 SB LOS TRANCOS,1.0,Mainline,,No,2552,,33.575503,-117.839807,S,13.36,13.371,2552,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-S,12,Orange,Newport Beach,16.43,16.441,1.825,1221149,1 SB AVOCADO AVE,1.0,Mainline,,No,2551,,33.605675,-117.876053,S,16.43,16.441,2551,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-S,12,Orange,Newport Beach,17.01,17.021,0.595,1221144,1 NB IRVINE TERRACE,1.0,Mainline,,No,2550,,33.610881,-117.883631,S,17.01,17.021,2550,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-S,12,Orange,Newport Beach,17.62,17.631,0.53,1221277,1 SB PROMONTORY PT,1.0,Mainline,,No,2549,,33.613228,-117.893843,S,17.62,17.631,2549,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-S,12,Orange,Newport Beach,18.07,18.081,0.61,1221137,1 NB BAYSIDE DRIVE,1.0,Mainline,,No,2548,,33.616208,-117.900679,S,18.07,18.081,2548,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-S,12,Orange,Newport Beach,18.83,18.851,0.725,1221132,1 SB BALBOA BAY,1.0,Mainline,,No,2547,,33.61612,-117.913849,S,18.83,18.851,2547,2023-09-21,d12_text_meta_2023_09_21.txt
SR1-S,12,Orange,Newport Beach,19.51,19.531,0.6,1221127,1 SB RIVERSIDE DR,1.0,Mainline,,No,2546,,33.620357,-117.924432,S,19.51,19.531,2546,2023-09-21,d12_text_meta_2023_09_21.txt
